user,date,rawContent,user_location,verified,followers,created,named_entities,links,hashtags,mentions
"{'username': 'AjayPaw35115588', 'id': 1107162771198787585, 'displayname': '🚩🚩 Ajay pawar 🚩🚩', 'rawDescription': '🚩🚩 Hindu 🚩🚩\n                                                                        instagram id➡️ ajay___pawar___', 'renderedDescription': '🚩🚩 Hindu 🚩🚩\n                                                                        instagram id➡️ ajay___pawar___', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2019, 3, 17, 6, 12, 29, tzinfo=datetime.timezone.utc), 'followersCount': 342, 'friendsCount': 402, 'statusesCount': 3771, 'favouritesCount': 1671, 'listedCount': 0, 'mediaCount': 7, 'location': 'Mumbai, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1392676462369525762/nI3zHxAX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1107162771198787585/1621001314', 'label': None}",2022-12-26 14:23:36+00:00,boycott ew ke sath sath sabka reservation chin lena chahiye .. saman nagrik kayda lagu karo. jiske gand dum hoga wahi selection lega .,"Mumbai, India",False,342,2019-03-17 06:12:29+00:00,,,,
"{'username': 'padmanabhan40', 'id': 97238641, 'displayname': 'Hari Padmanabhan', 'rawDescription': 'Worked in senior positions in multinational companies in India. Critiques current global social, economic and political events.', 'renderedDescription': 'Worked in senior positions in multinational companies in India. Critiques current global social, economic and political events.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 12, 16, 16, 13, 24, tzinfo=datetime.timezone.utc), 'followersCount': 6, 'friendsCount': 75, 'statusesCount': 529, 'favouritesCount': 87, 'listedCount': 0, 'mediaCount': 0, 'location': 'Bangalore, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None}",2022-12-26 14:21:44+00:00,"sullamls despite ""boycott india"" call, bangladeshi keep crowding hospital india get treated disease big small !! hatred india, rabid bangladeshi islamist condoned muslim pakistan killing 3 million bengali 1971 !","Bangalore, India",False,6,2009-12-16 16:13:24+00:00,Boycott IndiaBangladeshisIndiaIndiaRabid BangladeshiMuslimPakistan3 millionBengalis1971,,,@SullamLs
"{'username': 'flylilies44', 'id': 2172472617, 'displayname': 'R', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2013, 11, 7, 19, 2, 23, tzinfo=datetime.timezone.utc), 'followersCount': 2651, 'friendsCount': 139, 'statusesCount': 129672, 'favouritesCount': 23023, 'listedCount': 6, 'mediaCount': 7046, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1589954464576049152/O-Kda-4q_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-12-26 14:19:21+00:00,eri_998 jab tunhe rip dkp kiya tha waise boycott yrkkh ho raha trend,India,False,2651,2013-11-07 19:02:23+00:00,Jab TunheYrkkh horaha,,,@eri_998
"{'username': 'cfocatse13', 'id': 1432239985323769859, 'displayname': '♡', 'rawDescription': '🙃', 'renderedDescription': '🙃', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 8, 30, 7, 13, 49, tzinfo=datetime.timezone.utc), 'followersCount': 2, 'friendsCount': 13, 'statusesCount': 1414, 'favouritesCount': 24396, 'listedCount': 0, 'mediaCount': 5, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1604067032151904256/2CYr-PPk_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-12-26 14:18:53+00:00,boycott yrkkh,India,False,2,2021-08-30 07:13:49+00:00,YRKKH,https://t.co/Jh9z4A4zJ5,,
"{'username': 'urslovelyyash', 'id': 1424461459778465794, 'displayname': 'Yash', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 8, 8, 20, 4, 31, tzinfo=datetime.timezone.utc), 'followersCount': 6, 'friendsCount': 48, 'statusesCount': 7183, 'favouritesCount': 6959, 'listedCount': 0, 'mediaCount': 3069, 'location': 'Visakhapatnam', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1527199311787765762/6OER537W_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-12-26 14:18:11+00:00,drpawantyagi07 @meenadasnarayan @kajal_jaihind2 @_preetipandey @ssrajamouli boycott bollywood forever,Visakhapatnam,False,6,2021-08-08 20:04:31+00:00,,https://t.co/8f70U1T4Qo,,"@drpawantyagi07,@MeenaDasNarayan,@Kajal_Jaihind2,@_PreetiPandey,@ssrajamouli"
"{'username': 'MadCrazygirls', 'id': 1440593894694023184, 'displayname': 'Aamaya (Fuck You DKP😠🤬)', 'rawDescription': '🤫🤫🤫🤫🤫', 'renderedDescription': '🤫🤫🤫🤫🤫', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 9, 22, 8, 29, 36, tzinfo=datetime.timezone.utc), 'followersCount': 131, 'friendsCount': 55, 'statusesCount': 11599, 'favouritesCount': 15707, 'listedCount': 0, 'mediaCount': 503, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1581520874305650689/6hkLCX6x_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1440593894694023184/1665899197', 'label': None}",2022-12-26 14:17:43+00:00,salo saram waram toh bech khayi hai tum logo ne. worst channel worst production house ever #harshali deserves better boycott yrkkh #abhira #yrkkh,India,False,131,2021-09-22 08:29:36+00:00,"Salo saramhai tum logo neAbhiRa #,YRKKH",,"#harshali,#abhira,#yrkkh",
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-26 14:17:12+00:00,contd. akshu accident becomes mentally unstable leapabhi find accidentally abhi brings 2 birla house n take care jai soni play doctor doob maro dkp rip abhira rip yrkkh boycott yrkkh #abhira #yrkkh #harshali #harshadchopda #pranalirathod,India,False,93,2021-11-19 14:11:20+00:00,"2Birla HouseJai SoniYRKKHabhira #yrkkhHarshali #HarshadChopda #,PranaliRathod",,"#abhira,#yrkkh,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-26 14:15:35+00:00,"leap confirmed, something mind akshu meet accidentn assumed dead abhi blame manju n jharu 4 death abhi raise neils baby bade papa contd. doob maro dkp rip abhira rip yrkkh boycott yrkkh #abhira #yrkkh #harshali #harshadchopda #pranalirathod",India,False,93,2021-11-19 14:11:20+00:00,"4NeilYRKKHabhira #yrkkhHarshali #HarshadChopda #,PranaliRathod",,"#abhira,#yrkkh,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'Riyalovesabhira', 'id': 1471048188341604355, 'displayname': 'Ria', 'rawDescription': 'Abhira lover❤️', 'renderedDescription': 'Abhira lover❤️', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 12, 15, 9, 23, 26, tzinfo=datetime.timezone.utc), 'followersCount': 26, 'friendsCount': 23, 'statusesCount': 3900, 'favouritesCount': 10461, 'listedCount': 0, 'mediaCount': 39, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1588887054045564929/rif4gRHS_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-12-26 14:13:38+00:00,plz start #abhira love story start going separation. separation short rather yearsa slow burn marriage againi literally done jharumanjrievery character show. boycott yrkkh #yrkkh #abhira,India,False,26,2021-12-15 09:23:26+00:00,ManjriYRKKHyrkkh #,,"#abhira,#yrkkh,#abhira",
"{'username': 'Mounika_3_3', 'id': 1490892061201301504, 'displayname': 'Mounika', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 2, 8, 3, 35, 56, tzinfo=datetime.timezone.utc), 'followersCount': 7, 'friendsCount': 6, 'statusesCount': 1197, 'favouritesCount': 581, 'listedCount': 0, 'mediaCount': 3, 'location': 'Andhra Pradesh, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1490939941483737088/hBrZxWtQ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1490892061201301504/1644302756', 'label': None}",2022-12-26 14:13:33+00:00,boycott yrkkh,"Andhra Pradesh, India",False,7,2022-02-08 03:35:56+00:00,,,,
